Designator,Mid X,Mid Y,Layer,Rotation
C1,29.58,-36.53,Top,90
C2,33.88,-16.42,Top,180
C3,9,-30,Top,0
C4,11,-8,Top,0
C5,9,-27,Top,0
C6,10,-12,Top,0
C7,20.5,-13.5,Top,0
C8,21.5,-23.5,Top,270
D1,46.42,-17.07,Top,90
D2,41.5,-21.5,Top,180
D3,41.5,-25,Top,180
D4,41.5,-18,Top,180
D5,50.5,-14.5,Top,90
D6,41.5,-14.5,Top,180
D7,7.5,-19.5,Top,0
IC1,28.14,-16.53,Top,0
IC2,16,-25,Top,270
IC3,16,-17,Top,270
R1,34,-37,Top,90
R2,23,-44,Top,90
R3,27.23,-37.05,Top,90
R4,33.14,-34.23,Top,0
R5,23,-40,Top,270
R6,26.77,-33.52,Top,270
R7,36,-44,Top,90
R8,36,-41,Top,270
R9,31.23,-13.91,Top,90
R10,34.23,-13.72,Top,90
R11,11.5,-22,Top,270
R13,8,-16.5,Top,0
R14,15,-40,Top,0
R15,8.5,-23,Top,0
U1,29.65,-42.69,Top,180
